Мен къырымтатар тилинде сербест окъуйым;Я свободно читаю покрымскотатарски
Мен къырымтатар тилинде лугъат ярдымынен окъуйым;Я со словарём читаю покрымскотатарски
Тильни фааль бильмек;Активно владеть языком
Зенгин сёз байлыгъы;Большой словарный запас
Грамматиканы яхшы бильмейим;Я плохо знаю грамматику
Айткъанларыны яхшы анълайым;Я хорошо понимаю на слух
Лякин лаф этмек ве язмакъ манъа зор келе;Но говорить и писать мне сложно
Лафымда даа чокъ хата бар;Я еще делаю много ошибок, когда говорю
Къырымтатар тилини бозып лаф этмек;Коверкать крымскотатарский язык
Инглиздже окъуп олам;Я могу читать на английском
Инглиздже техникий весикъаларны анълайым;Я понимаю технические документы на английском
Сёз тапмакъ;Подбирать слова
Эвеллери къырымтатарджа сербест лаф эте эдим, лякин шимди сёз тапмакъ къыйын;Раньше я свободно говорил по-крымскотатарски, но сейчас мне тяжело подбирать слова
Къырымтатар тилини къайда огрендинъиз?;Где вы выучили крымскотатарский язык?
Тиль курсларына къатнайсынъызмы?;Вы ходите на языковые курсы?
Къайсы курсларгъа къатнайсынъ?;На какие курсы ты ходишь?
Къырымтатар тилини чокъ вакъыт огрендинъизми?;Как долго вы изучали крымскотатарский?
Мен къырымтатарджаны аман-аман эки йыл огрендим;Я изучал крымскотатарский почти два года
Бала чагъымда эвде къырымтатарджа лаф эте эдим;Я говорил покрымскотатарски дома в детстве
Къырымтатар тилини мектепте огрендим;Я выучил крымскотатарский в школе
Афтада учь кере курсларгъа къатнайым;Я хожу на курсы три раза в неделю
Озюм дерсликнен огренем, эм де адамларнен лаф этем;Я сам занимаюсь по учебнику и разговариваю с людьми
Инглиз тилинде фильмлер сейир этем;Я смотрю фильмы на английском
Оджадан инглиз тили дерслери алам;Я занимаюсь английским с преподавателем
Скайп вастасынен репетитордан дерс алам;Я занимаюсь с репетитором по скайпу
Тиль ташыйыджысы;Носитель языка
Тильни яхшы бильмек ичюн чокъ амелият керек;Чтобы хорошо знать язык, нужно много практики
Къырымтатарджа лаф этейик;Давайте говорить по-крымскотатарски
Бунынъ къырымтатарджасы не?;Как это называется по-крымскотатарски?
«Пылесос»нынъ къырымтатарджасы не?;Как по-крымскотатарски «пылесос»?
Нынъ русчасы не?;Как переводится на русский?
Рус тилине насыл терджиме этиле?;Как переводится на русский?
Сёзю къырымтатарджа не манагъа келе?;Что значит по-крымскотатарски слово?
Бу сёз не манагъа келе?;Что значит это слово?
Оны насыл теляффуз этесинъиз?;Как вы его произносите?
Бу, куфюр сёздир;Это ругательное слово
Сёзю насыл языла?;Как пишется слово?
Сёзюнинъ къырымтатарджасыны хатырлап оламайым;Я не могу вспомнить, как покрымскотатарски
Адыны хатырлап оламайым;Я не могу вспомнить его название
Бу сёзни лугъатта къыдырайыкъ;Давайте поищем это слово в словаре
Мен догъру теляффуз этемми?;Правильно ли я произношу?
Ургъу къайда тюше?;Где ставится ударение?
Мен догъру айтаммы?;Правильно ли я говорю?
Менимдже, сиз пек яхшы лаф этесинъиз;По-моему, вы говорите очень хорошо
Къырымтатарджа лугъатны къайдан сатын алмакъ мумкюн?;Где можно купить крымскотатарский словарь?
Лютфен, бир кере даа айтсанъыз;Повторите, пожалуйста, еще раз
О не деди?;Что он сказал?
Сиз не дединъиз?;Что вы сказали?
Анъладынъызмы?;Вы поняли?
Сизге анълашыламы?;Вам понятно?
Сиз мени анълайсынъызмы?;Вы меня понимаете?
Мен сизни анъламайым;Я вас не понимаю
Мен анъладым;Я понял
Лютфен, бу ерде язылгъаныны терджиме этинъиз;Переведите, пожалуйста, что здесь написано
Бу ерде не язылгъаныны анълатып берсенъиз;Объясните, что здесь написано
Айткъанларымны терджиме этинъиз;Переведите мои слова
Бизге терджиман керек;Нам нужен переводчик
Синхрон терджиме;Синхронный перевод
Синхрон терджиман;Синхронный переводчик
Бу метинни кягъыткъа язынъыз;Напишите этот текст на листке
Сёзни ариф-ариф айтынъыз;Продиктуйте слово по буквам
Сёзлерни дане-дане айтсанъыз;Скажите, пожалуйста, чётко
Бу шиирни эзберленъиз;Выучите это стихотворение
Адамларны анъламакъ истеймиз;Мы хотим понимать людей
Адамларнен лаф этмек истеймиз;Мы хотим говорить с людьми
Миллет;Национальность
Миллети не?;Кто он по национальности?
Миллети не?;Кто она по национальности?
Миллетинъ не?;Кто ты по национальности?
Миллетинъиз не?;Кто вы по национальности?
Къырымтатарсынъызмы?;Вы крымский татарин?
Руссынъмы?;Ты русский?
Миллетим къырымтатар;По национальности я крымский татарин
Онынъ миллети рус;По национальности он русский
Мен къырымтатарым;Я крымский татарин
Мен русым;Я русский
Мен украиним;Я украинец
Мен озьбеким;Я узбек
Мен тюрким;Я турок
Мен эрменим;Я армянин
Мен къарайым;Я караим
О къырымтатар;Он крымский татарин
О рус;Он русский
О украин;Он украинец
О озьбек;Он узбек
О тюрк;Он турок
Бабам къырымтатар, анам рус;Мой отец крымский татарин, а мама русская
Къарышыкъ къоранта;Смешанная семья
Чешит миллетлер адамлары;Представители разных национальностей
Къырымда чешит миллетлер адамлары яшай;В Крыму живут представители разных национальностей
Миллетлерара барышыкъ;Межнациональное согласие
Эрмени;Армянский
Эрмени;Армянин
Ибаре;Выражение
Еуди;Еврейский
Еуди;Еврей
Мана;Значение
Мана;Смысл
Огренмек;Изучать
Миллетлерара;Межнациональный
Терджиме этмек;Переводить
Анъламакъ;Понимать
Айтылыш;Произношение
Теляффуз;Произношение
Лаф этмек;Разговаривать
Ана тили;Родной язык
Рус;Русский
Сёз;Слово
Тюрк;Турецкий
Тюрк;Турок
Озьбек;Узбекский
Озьбек;Узбек
Украин;Украинский
Украин;Украинец
Ишлер насыл?;Как дела?
Насылсынъыз?;Как вы?
Не хабер?;Что нового?
Сагъселяметсинъизми?;Живы-здоровы?
Сагълыгъынъыз насыл?;Как ваше здоровье?
Насылсынъыз?;Как поживаете?
Кейфлер насыл?;Как самочувствие?
Насылсынъыз?;Как жизнь?
Акъайынъыз насыл?;Как ваш муж?
Апайынъыз насыл?;Как ваша жена?
Ана-бабанъыз насыл?;Как ваши родители?
Сой-сопларынъызнынъ сагълыгъы насыл?;Как здоровье ваших родных?
Эр кес сагъселяметми?;Все живы-здоровы?
Насыл раатландынъыз?;Как отдохнули?
Раатлыкъ куньлери насыл кечти?;Как прошли выходные?
Яхшы!;Хорошо!
Яхшы, сагъ олунъыз!;Спасибо, хорошо!
Аллагъа шукюр, яхшы!;Слава Богу, хорошо!
Эр шей пек яхшы!;Всё отлично!
Бир ёрукъ;Ничего, более-менее
Эр шей еринде;Всё в порядке
Пек яхшы дегиль;Так себе
Сагълыкълашув;Прощание
Сагъ-селямет олунъыз!;Будьте здоровы!
Огъурлар олсун!;Всего хорошего!
Сагълыкълашайыкъ;Давайте попрощаемся
Энди къайтмагъа рухсет этинъиз;Позвольте откланяться
Акъшамгъадже!;До вечера!
Ярынгъадже!;До завтра!
Якъында корюшмек узере!;До скорого!
Сагълыкънен къалынъыз!;До свидания!
Сагълыкънен барынъыз!;До свидания!
Алла даа корюшмек къысмет этсин!;Дай Бог нам свидеться!
Биз даа корюширмиз!;Ещё увидимся!
Языкъ ки, кетесинъиз;Жаль, что вы уходите
Сизден хабер беклейим!;Жду от вас сообщений!
Телефон этинъиз!;Звоните!
Язынъыз!;Пишите!
Айды!;Пока!
Дарысы сизге олсун!;И вам того же!
Мында кельгенимизден пек мемнюн олдыкъ;Мы остались очень довольны нашим пребыванием здесь
Корюшеджегимизге умют этем;Надеюсь, мы увидимся
Баргъанынъызнен мектюп язынъыз;Напишите как доедете
Манъа телефон этмеге унутманъыз;Не забудьте позвонить мне
Бизни унутманъыз!;Не забывайте нас!
Селям этинъиз!;Передавайте привет!
Бизден Алиге селям айтынъыз!;Передайте от нас привет Али!
Догъмушларынъызгъа селям этинъиз;Передавайте привет своим близким
Ана-бабанъызгъа энъ яхшы тилеклеримни айтынъыз;Передавайте мои наилучшие пожелания родителям
Балаларынъызны меним адымдан опюнъиз;Поцелуйте детей от меня
Къартана-къартбабанънынъ эллерини опь;Поцелуй руки бабушке и дедушке
Келинъиз!;Приходите!
Даа да келинъиз!;Приезжайте ещё!
Джан-юректен мусафир эткенинъиз ичюн сагъ олунъыз!;Спасибо за сердечный приём
Мусафирченлигинъиз ичюн сагъ олунъыз;Спасибо за гостеприимство
Геджелер хайыр!;Спокойной ночи!
Хайыргъа къаршы!;Спокойной ночи!
Огъурлы ёллар!;Счастливого пути!
Биз даа корюширмиз;Мы ещё увидимся
Кетесинъизми?;Уходите?
Кетесинъизми?;Уезжаете?
Бу сувенир бизден бир хатыра олсун;Это сувенир на память от нас
Сизни сагъынырым;Я буду скучать по вам
Кетмек кереким;Я должен идти
Эльвида!;Прощай!
Субетте кириш сёзлер;Вводные слова в разговоре
Я сенинъ фикринъ не?;А каково твое мнение?
Я сен не тюшюнесинъ?;А ты что думаешь?
Эксерий алларда;В большинстве случаев
Эсасен;В основном
Бильхасса;В особенности
Бильхасса;Особенно
Хусусан;В особенности
Хусусан;Особенно
Илле десенъ;В особенности
Илле десенъ;Особенно
Айрыджа;В особенности
Айрыджа;Особенно
Шунынъ ичюн ойле тюшюнем;Вот почему я так думаю
Сёзюмни битирмеге бермединъиз;Вы не дали мне закончить
Шимди чокъ мешгъульсинъизми?;Вы сейчас очень заняты?
Анълаштыкъмы?;Договорились?
Манъа айтмагъа рухсет этсенъиз;Если позволите мне сказать
Керчектен де не тюшюнгенимни бильмек истесенъ;Если тебе хочется знать, что я на самом деле думаю
Янъылмасам;Если я не ошибаюсь
Ве иляхре;И так далее
Багъышланъыз;Извините
Багъышланъыз, девам этинъиз;Извините, продолжайте
Къарышкъаным ичюн багъышланъыз;Извините, что вмешиваюсь
Сийрек;Изредка
Сийрексепелек;Изредка
Базыда;Иногда
Кимерде;Иногда
Ара-сыра;Иногда
Арада бир;Иногда
Базан;Иногда
Багъышланъыз, не айттынъыз?;Извините, что вы говорили?
Сёзюнъни больдим, эйилигинъ юрьсюн;Извини, что прервал тебя
Сёзюнъизни больгеним ичюн багъышланъыз, амма;Извините, что прерываю, но
Языкъ ки;К сожалению
Сёз келими;К слову сказать
Яхшы ки;К счастью
Берекет берсин;К счастью
Бахтымызгъа;К счастью
Эр бир;Каждый
Бир;Какой-нибудь
Насылдыр;Какой-нибудь
Бир-де-бир;Какой-нибудь
Даа бир шейлер;Кое-что ещё
Сёз сырасы;Кстати
Бир-де-бири;Кто-либо
Ким-кимни;Кто кого
Буны ким япты?;Кто это сделал?
Я эбет, я да ёкъ;Либо да, либо нет
Иле меракъланам;Меня интересует
Бир дакъкъа!;Минуточку!
Мен беллесем;Мне кажется
Мен беллейим;Мне кажется, что
Мен бегенем;Мне нравится
Сизден бир шей сорамакъ мумкюнми?;Могу я у вас спросить?
Янъыла билем, лякин;Может быть, я ошибаюсь, но
Бир сёз айтмакъ мумкюнми?;Можно мне кое-что сказать?
Бинаэн;На основании
Бинаэн;Согласно
Бинаэн;Опираясь на
Меним ичюн бир дакъкъа вакътынъыз тапылырмы?;Не уделите мне минутку?
Ниает;Наконец
Айтмасы айып олмасын;Не обессудь, но
Теслим олма!;Не сдавайся!
Козь тиймесин!;Не сглазить бы!
Шимди дегиль;Не сейчас
Керекмей;Не стоит
Бир шей дегиль!;Ничего, пустяки!
Вакъыт косьтерир;Поживём увидим
Фырсаттан файдаланып;Пользуясь моментом
Менимдже;По-моему
Фикримдже;По-моему мнению
Эр шейден эвель;Прежде всего
Лаф арамызда къалсын;Пусть это останется между нами
Разы дегильсинъми ёкъса?;Разве ты не согласен?
Джиддий бир лаф оладжакъ;Разговор будет серьёзный
Меним нокъта-и назарымдан;С моей точки зрения
Дерсинъ;Словно
Санки;Словно
Дерсинъ;Как бы
Санки;Как бы
Дерсинъ;Будто
Санки;Будто
Бойлеликнен;Таким образом
Бойле этип;Таким образом
Бойледже;Таким образом
Бойлеликнен;Итак
Бойле этип;Итак
Бойледже;Итак
Бу акъта айтаджакъ фикринъ бармы?;Тебе есть, что сказать по этому поводу?
Мешгъульсинъми?;Ты занят?
Разысынъмы?;Ты согласен?
Мындасынъмы?;Ты с нами?
Яхшы, анълаштыкъ!;Хорошо, договорились!
Манъа къалса;Что касается меня
Бу акъта не тюшюнесинъ?;Что ты думаешь по этому поводу?
Гъалиба, ойле бир шей;Что-то в этом роде
Бу, сырдыр;Это секрет
Сизге садедже айтаджакъ эдим;Я лишь хотел сказать вам, что
Деп тюшюнмейим;Я не думаю, что
Эмин дегилим;Я не уверен, что
Айтмакъ ичюн язам;Я пишу, чтобы сказать
Меним фикрим шу ки;Я считаю, что
Мен эминим ки;Я уверен, что
Сизнен лаф этмек истейим;Я хотела бы с вами поговорить
Ёкъ, языкъ ки, о куню мешгъульмиз;Нет, мне жаль, но мы заняты в этот день
Языкъ ки, бош дегильмиз, келип оламамыз;К сожалению, мы не свободны, не сможем прийти
Языкъ ки, келип оламам;К сожалению, я не смогу прийти
Кельмеге истейим, амма келип оламам;Я бы хотел прийти, но не смогу
Джумаэртеси кунюне планларым бар;У меня уже есть планы на субботу
Саат едиде келинъиз;Приходите к 7 часам
Саат алтыларда келинъиз;Приходите гденибудь в шесть
Акъшам емегине достларымызны давет эттик;Мы пригласили друзей на ужин
Джыйында ким оладжакъ?;Кто будет на вечеринке?
Даа ким келир?;Кто ещё придёт?
Джумаэртеси куню Алим, Алиме, Сабри ве Сабриени чагъырдыкъ;Мы позвали в субботу Алима, Алиме, Сабри и Сабрие
Сервер ве Вели келир;Придут Сервер и Вели
Кельгенде телефон этинъиз, мен чыкъып сизни къаршыларым;Позвоните, когда будете подходить, я выйду вас встретить
Станциядан сизни алып келе билем;Я могу забрать вас от станции
Амет бизни алып келир;Нас подвезёт Амет
Давет;Приглашение
Кирмеге истемейсинъизми?;Не хотите ли зайти?
Ёлунъыз тюшсе, келинъиз;При случае заходите
Бизге келип турунъыз;Заходите, когда хотите
Нечюн бизге кельмейсинъиз?;Почему не заходите к нам?
Бугунь акъшам мешгъульсинъизми?;Вы не заняты сегодня вечером?
Бир отурып лаф этмеге келинъиз;Приходите посидеть, поболтать
Бизге къошулынъыз;Присоединяйтесь к нам
Мен сизни давет этем;Я вас приглашаю
Сизни бир фильджан къавеге давет этем;Приглашаю вас на чашку кофе
Сизни бир фильджан къавеге давет эте билемми?;Могу ли я вас пригласить на чашечку кофе?
Сизни акъшам емегине давет этмеге истейим;Я хочу пригласить вас на ужин
Сизни уйле емегине давет этмеге истейим;Я хочу пригласить вас на обед
Сизни иджадий акъшамгъа давет этмеге истейим;Я хочу пригласить вас на творческий вечер
Сизни апайынъызнен давет этем;Приглашаю вас с женой
Сизни акъайынъызнен давет этем;Приглашаю вас с мужем
Сизни балаларынъызнен давет этем;Приглашаю вас с детьми
Сизни ана-бабанъызнен давет этем;Приглашаю вас с родителями
Сизни къорантанъызнен давет этем;Приглашаю вас с семьёй
Оны давет этинъиз;Пригласите его
Акъшам емегине кельмеге истейсинъизми?;Хотите прийти на ужин?
Сизни мусафирликке давет этмек истейим;Я хочу пригласить вас в гости
Бизге мусафирликке келинъиз;Приходите к нам в гости
Ярын бизге келинъиз;Приходите завтра к нам
Джума куню акъшам бизге мусафирликке келинъиз;Приходите к нам в гости в пятницу вечером
Ярын акъшам балыкъ къавурырмыз, келинъиз;Завтра вечером будем жарить рыбу, приходите
Киногъа барайыкъмы?;Пойдёмте в кино?
Концертке барайыкъмы?;Пойдёмте на концерт?
Дагъгъа барайыкъмы?;Пойдёмте в горы?
Денъизге барайыкъмы?;Пойдёмте на море?
Джыйынгъа келинъиз!;Приходите на вечеринку!
Киногъа бармагъа истейсинъизми?;Не хотели бы вы пойти в кино?
Сизни театрге давет этем;Приглашаю вас в театр
Сизни Чатырдагъ кезинтисине давет этем;Приглашаю вас в поход на Чатырдаг
Ай-Петриге барып лыжанен таяйыкъ;Поехали на АйПетри кататься на лыжах
Ялы бою бираз кезеджегимизге къаршы дегильсинъизми?;Вы не против немного погулять по набережной?
Не дерсинъиз, паркта бираз кезинейикми?;Может немного прогуляемся в парке, что скажете?
Сизни такъдим тедбирине давет этелер;Вас приглашают на презентацию
Мени тойгъа давет эттилер;Меня пригласили на свадьбу
Достларымыз бизни тойларынынъ йыллыгъына давет этти;Друзья пригласили нас на годовщину свадьбы
Бошсынъызмы?;Вы свободны?
Вакътынъыз олурмы?;У вас будет время?
Келе билирсинъизми?;Вы можете прийти?
Келеджексинъизми?;Вы придёте?
Сизни корьмектен мемнюн олурым;Буду рад вас видеть
Эвде олурсынъызмы?;Вы будете дома?
Сиз бизнен бармазсызмы?;Вы не пойдёте с нами?
Сиз тойгъа даветимни алдынъызмы?;Вы получили моё приглашение на свадьбу?
Сиз сюннет тоюна даветимни алдынъызмы?;Вы получили моё приглашение на праздник обрезания?
Сиз догъгъан кунюме даветимни алдынъызмы?;Вы получили моё приглашение на день рождения?
Сиз джыйынгъа даветимни алдынъызмы?;Вы получили моё приглашение на вечеринку?
Сиз къыз джыйынына даветимни алдынъызмы?;Вы получили моё приглашение на девичник?
Эбет, алдым, дикъкъатынъыз ичюн мемнюним;Да, получил, тронут вашим вниманием
Даветинъизни алдыкъ;Мы получили ваше приглашение
Давет эткенинъиз ичюн сагъ олунъыз;Спасибо за приглашение
